dept,number,dept 2,number 2,dept 3,number 3,dept 4,number 4,dept 5,number 5,course name,credits,evals,freshman,sophomore,junior,senior,year 5,masters,other,phd
MATH,113,,,,,,,,,Linear Algebra and Matrix Theory,3,258,14,36,21,10,2,13,0,4
MATH,121,,,,,,,,,Galois Theory,3,50,22,41,31,6,0,0,0,0
MATH,131P,,,,,,,,,Partial Differential Equations,3,76,11,48,22,13,1,4,0,1
MATH,136,STATS,219,,,,,,,Stochastic Processes,3,35,3,18,10,10,0,23,1,35
MATH,144,,,,,,,,,Introduction to Topology and Geometry,3,0,,,,,,,,
MATH,151,,,,,,,,,Introduction to Probability Theory,3,14,18,23,14,26,14,0,0,5
MATH,152,,,,,,,,,Elementary Theory of Numbers,3,63,19,43,19,16,0,3,0,0
MATH,161,,,,,,,,,Set Theory,3,40,9,45,27,14,0,0,5,0
MATH,173,,,,,,,,,Theory of Partial Differential Equations,3,11,,,,,,,,
MUSIC,1A,,,,,,,,,"Music, Mind, and Human Behavior",3,62,,,,,,,,
MUSIC,19A,,,,,,,,,Introduction to Music Theory,3,170,27,36,16,15,0,1,0,5
MUSIC,20B,,,,,,,,,Advanced Jazz Theory,3,4,,,,,,,,
MUSIC,22,,,,,,,,,Elements of Music II,3,49,46,27,15,4,0,0,0,8
MUSIC,101,,,,,,,,,Introduction to Creating Electronic Sounds,4,54,,,,,,,,
MUSIC,122B,,,,,,,,,Analysis of Tonal Music,4,9,,,,,,,,
MUSIC,127A,,,,,,,,,Instrumentation and Orchestration,3,5,,,,,,,,
MUSIC,220B,,,,,,,,,"Compositional Algorithms, Psychoacoustics, and Computational Music",4,14,,,,,,,,
MUSIC,222,,,,,,,,,Sound in Space,4,11,,,,,,,,
NATIVEAM,100,,,,,,,,,Introduction to Native American Studies,3,0,,,,,,,,
PHIL,71H,,,,,,,,,Introduction to Aesthetics,4,0,,,,,,,,
PHIL,80,,,,,,,,,"Mind, Matter, and Meaning",5,283,4,39,35,21,0,0,1,0
PHIL,85,,,,,,,,,Topics in Philosophy of Medicine,4,0,,,,,,,,
PHIL,151,PHIL,251,,,,,,,Metalogic,4,68,16,22,22,30,0,2,0,8
PHIL,165,PHIL,265,,,,,,,Philosophy of Physics: Space and Time,4,27,18,18,34,0,0,6,0,24
PHIL,169M,PHIL,269M,,,,,,,Topics in 18th Century Natural Philosophy: Virtues and Technology,4,0,,,,,,,,
PHIL,186,PHIL,286,,,,,,,Philosophy of Mind,4,30,,,,,,,,
PHIL,187,PHIL,287,,,,,,,Philosophy of Action,4,34,,,,,,,,
PHYSICS,16,,,,,,,,,The Origin and Development of the Cosmos,3,158,36,23,17,20,2,2,0,0
PHYSICS,23,,,,,,,,,"Electricity, Magnetism, and Optics",4,227,5,10,64,17,2,1,1,0
PHYSICS,43,,,,,,,,,Electricity and Magnetism,4,469,62,25,9,2,2,0,0,0
PHYSICS,63,,,,,,,,,"Electricity, Magnetism, and Waves",4,109,89,10,1,0,0,0,0,0
PHYSICS,112,,,,,,,,,Mathematical Methods for Physics,4,51,15,75,10,0,0,0,0,0
PHYSICS,113,,,,,,,,,Computational Physics,4,46,,,,,,,,
PHYSICS,120,,,,,,,,,Intermediate Electricity and Magnetism I,4,84,9,71,18,0,0,0,0,2
PHYSICS,130,,,,,,,,,Quantum Mechanics I,4,86,15,43,38,4,0,0,0,0
PHYSICS,160,PHYSICS,260,,,,,,,Introduction to Stellar and Galactic Astrophysics,3,15,,,,,,,,
PHYSICS,166,PHYSICS,266,,,,,,,Statistical Methods in Experimental Physics,3,3,,,,,,,,
PHYSICS,171,,,,,,,,,"Thermodynamics, Kinetic Theory, and Statistical Mechanics II",4,46,10,3,10,16,0,0,0,61
PHYSICS,191,,,,,,,,,Scientific Communication in Physics,3,0,,,,,,,,
POLISCI,114S,,,,,,,,,International Security in a Changing World,5,207,26,26,25,12,0,8,3,0
POLISCI,120C,PUBLPOL,124,,,,,,,American Political Institutions in Uncertain Times,5,46,27,41,12,12,0,8,0,0
POLISCI,148,POLISCI,348,,,,,,,Chinese Politics,5,50,18,24,9,12,0,37,0,0
POLISCI,150B,POLISCI,355B,,,,,,,Machine Learning for Social Scientists,5,49,,,,,,,,
PSYCH,1,,,,,,,,,Introduction to Psychology,5,544,69,20,7,4,0,0,0,0
PSYCH,10,STATS,60,STATS,160,,,,,Introduction to Statistical Methods: Precalculus,5,319,27,26,23,16,1,1,5,1
PSYCH,35,CS,24,LINGUIST,35,PHIL,99,SYMSYS,1,Minds and Machines,4,183,39,34,15,12,0,0,0,0
PSYCH,50,,,,,,,,,Introduction to Cognitive Neuroscience,4,321,23,38,27,11,1,0,0,0
PSYCH,90,,,,,,,,,Introduction to Clinical Psychology: A Neuroscience Perspective,3,91,4,33,39,20,3,1,0,0
PSYCH,145A,PUBLPOL,141,SOC,141,SOC,241,URBANST,149,Monitoring the Crisis,5,0,,,,,,,,
PUBLPOL,168,PUBLPOL,268,SOC,168,SOC,268,,,Global Organizations: The Matrix of Change,4,15,,,,,,,,
PUBLPOL,308,,,,,,,,,Political Analysis for Public Policymakers,4,21,5,0,0,21,0,69,0,5
RELIGST,3,,,,,,,,,The Religious Life of Things,5,0,9,27,46,18,0,0,0,0
RELIGST,56,,,,,,,,,Exploring Chinese Religions,4,25,,,,,,,,
RELIGST,61,,,,,,,,,Exploring Islam,4,14,,,,,,,,
LAWGEN,112N,,,,,,,,,Law and Inequality,3,0,,,,,,,,
SOC,120,SOC,220,,,,,,,Interpersonal Relations,4,15,15,19,33,21,0,6,4,2
SOC,170,SOC,270,,,,,,,Classics of Modern Social Theory,4,29,,,,,,,,
SOC,180B,CSRE,180B,SOC,280B,,,,,Introduction to Data Analysis,4,86,,,,,,,,
STATS,191,,,,,,,,,Introduction to Applied Statistics,3,167,3,13,16,20,1,33,1,13
SYMSYS,195N,CS,224N,LINGUST,284,,,,,Natural Language Processing with Deep Learning,4,0,3,6,9,14,1,54,2,11
URBANST,110,HISTORY,107,,,,,,,Introduction to Urban Studies,4,118,29,24,30,15,1,1,0,0
